00601 ; 7
00602 ; 4
00603 ; 10
00604 ; 30
00605 ; 4
00607 ; 24
00609 ; 4
00610 ; 1
00611 ; 4
00612 ; 17
00613 ; 5
00615 ; 8
00620 ; 35
00621 ; 4
00622 ; 20
00623 ; 4
00624 ; 38
00625 ; 1
00626 ; 16
00628 ; 38
00630 ; 4
00631 ; 4
00632 ; 8
00633 ; 38
00634 ; 4
00635 ; 34
00637 ; 11
00638 ; 20
00640 ; 4
00642 ; 38
00644 ; 38
00645 ; 1
00647 ; 38
00648 ; 25
00649 ; 14
00651 ; 8
00653 ; 35
00655 ; 38
00656 ; 15
00657 ; 34
00658 ; 23
00659 ; 1
00660 ; 35
00661 ; 2
00662 ; 20
00663 ; 40
00664 ; 4
00665 ; 4
00667 ; 4
00668 ; 2
00669 ; 4
00670 ; 4
00671 ; 2
00672 ; 35
00673 ; 38
00674 ; 1
00675 ; 38
00677 ; 34
00678 ; 13
00679 ; 40
00680 ; 35
00681 ; 1
00682 ; 35
00683 ; 5
00685 ; 38
00686 ; 5
00688 ; 3
00689 ; 25
00690 ; 4
00691 ; 4
00692 ; 15
00693 ; 3
00695 ; 16
00696 ; 26
00697 ; 25
00698 ; 1
00699 ; 1
00701 ; 5
00703 ; 1
00704 ; 2
00705 ; 1
00706 ; 1
00707 ; 4
00710 ; 2
00712 ; 9
00714 ; 1
00715 ; 38
00716 ; 4
00717 ; 4
00719 ; 2
00720 ; 2
00722 ; 23
00723 ; 23
00725 ; 19
00728 ; 25
00729 ; 3
00730 ; 3
00733 ; 38
00734 ; 34
00736 ; 25
00738 ; 38
00740 ; 5
00741 ; 10
00742 ; 7
00746 ; 8
00747 ; 40
00749 ; 5
00752 ; 0
00754 ; 38
00755 ; 1
00756 ; 38
00758 ; 10
00760 ; 40
00761 ; 38
00763 ; 33
00764 ; 11
00766 ; 35
00770 ; 38
00771 ; 18
00773 ; 1
00774 ; 1
00775 ; 35
00776 ; 4
00777 ; 1
00778 ; 39
00779 ; 28
00780 ; 25
00783 ; 38
00784 ; 38
00785 ; 34
00787 ; 11
00788 ; 18
00789 ; 14
00791 ; 30
00795 ; 38
00797 ; 34
00798 ; 2
00801 ; 34
00802 ; 28
00803 ; 34
00805 ; 28
00806 ; 8
00807 ; 11
00808 ; 38
00809 ; 14
00810 ; 11
00811 ; 11
00813 ; 6
00814 ; 11
00816 ; 18
00817 ; 30
00818 ; 25
00820 ; 11
00821 ; 5
00822 ; 16
00823 ; 40
00824 ; 34
00825 ; 1
00827 ; 14
00828 ; 18
00829 ; 1
00831 ; 1
00833 ; 1
00834 ; 1
00835 ; 11
00837 ; 18
00838 ; 2
00839 ; 2
00841 ; 38
00845 ; 22
00846 ; 2
00848 ; 1
00849 ; 33
00850 ; 1
00851 ; 34
00852 ; 28
00853 ; 38
00854 ; 40
00855 ; 23
00857 ; 14
00858 ; 40
00859 ; 27
00860 ; 2
00862 ; 1
00864 ; 22
00865 ; 38
00866 ; 10
00867 ; 18
00869 ; 26
00870 ; 5
00871 ; 5
00872 ; 10
00874 ; 31
00876 ; 5
00881 ; 5
00882 ; 2
00884 ; 4
00885 ; 17
00886 ; 10
00887 ; 36
00888 ; 35
00889 ; 4
00891 ; 4
00894 ; 4
00895 ; 4
00896 ; 15
00898 ; 4
00899 ; 18
